DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Seethawaka,Kanampella East,425,1080,519,561,6.9654086,80.1456496
Seethawaka,Manakada,429B,598,279,319,6.964462,80.1637901
Seethawaka,Eswatta North,429,2048,980,1068,6.9659913,80.1735565
Seethawaka,Kiriwandala North,431B,3356,1694,1662,6.9557358,80.1902963
Seethawaka,Kudagama,432A,1689,788,901,6.9718751,80.2014543
Seethawaka,Weralupitiya,432H,815,405,410,6.9707524,80.2112164
Seethawaka,Seethagama,432F,2316,1052,1264,6.9627401,80.2084273
Seethawaka,Avissawella,432,2333,1150,1183,6.9543289,80.2045768
Seethawaka,Ukwatta,432C,2649,1268,1381,6.9566448,80.2021516
Seethawaka,Agra Pedesa,432G,2001,927,1074,6.9619469,80.2021516
Seethawaka,Eswatta South,429C,1631,758,873,6.9447855,80.1735565
Seethawaka,Ihala Kosgama North,428,2664,1266,1398,6.9495049,80.1456496
Seethawaka,Thawalgoda,426,1385,656,729,6.9531597,80.1302969
Seethawaka,Muruthagama,426A,1076,517,559,6.9496572,80.1212235
Seethawaka,Akaravita,434,1195,591,604,6.9501006,80.1107531
Seethawaka,Kahatapitiya,435,1152,580,572,6.9478937,80.1002814
Seethawaka,Kalu Aggala,436,1431,714,717,6.9327899,80.1065646
Seethawaka,Salawa,427A,2464,1164,1300,6.9384389,80.1233175
Seethawaka,Pahala Kosgama West,427B,1959,962,997,6.9399094,80.1302969
Seethawaka,Pahala Kosgama East,427,1830,919,911,6.9400841,80.1386714
Seethawaka,Ihala Kosgama South,428B,1307,615,692,6.9376088,80.1470451
Seethawaka,Miriswatta,428C,2095,1036,1059,6.9431992,80.1609995
Seethawaka,Aluth Ambalama,428A,1837,878,959,6.9352493,80.1609995
Seethawaka,Kiriwandala South,431E,2138,1063,1075,6.9454803,80.2070328
Seethawaka,Kotahera,432D,1725,858,867,6.9442994,80.2140053
Seethawaka,Seethawaka,432B,1877,893,984,6.9543613,80.2045514
Seethawaka,Aradhana Kanda,432E,2964,1469,1495,6.9417643,80.219583
Seethawaka,Puwakpitiya South,431C,3837,1833,2004,6.9360597,80.2000596
Seethawaka,Puwakpitiya,431,1307,623,684,6.9360019,80.1972702
Seethawaka,Egodagama,431D,1301,632,669,6.9279367,80.1916911
Seethawaka,Weragolla North,431A,1893,890,1003,6.9290015,80.1791368
Seethawaka,Hingurala,429A,2099,1076,1023,6.923471,80.1679758
Seethawaka,Kadugoda North,430,1451,694,757,6.9281899,80.1400671
Seethawaka,Mawalgama,437,2033,982,1051,6.9173611,80.128901
Seethawaka,Gira Imbula,435A,928,455,473,6.9233138,80.0967906
Seethawaka,Walawwatta,445A,1339,701,638,6.901602,80.0716523
Seethawaka,Pahala Hanwella,445,1492,755,737,6.9068979,80.0716523
Seethawaka,Hanwella Town,443B,2989,1542,1447,6.9058363,80.0842224
Seethawaka,Ihala Hanwella North,443,1510,746,764,6.9060693,80.0953942
Seethawaka,Niripola,438,1681,801,880,6.906302,80.1065646
Seethawaka,Brandigampala,440A,1173,571,602,6.9118313,80.1177335
Seethawaka,Kadugoda South,430A,1732,840,892,6.9177092,80.1456496
Seethawaka,Weragolla South,431F,1322,693,629,6.918865,80.2014543
Seethawaka,Digana,442F,1478,704,774,6.9025101,80.1791368
Seethawaka,Lahirugama,442D,2146,1040,1106,6.8994579,80.1596041
Seethawaka,Mambula,441,1128,529,599,6.9057031,80.1414627
Seethawaka,Welikanna,442,1512,705,807,6.8925199,80.144254
Seethawaka,Kahahena,441A,1627,797,830,6.9014699,80.128901
Seethawaka,Neluwattuduwa,440,666,329,337,6.8972949,80.1191296
Seethawaka,Diddeniya North,439,1717,849,868,6.8905305,80.1121493
Seethawaka,Ihala Hanwella South,443C,1041,493,548,6.8967142,80.0912049
Seethawaka,Pahathgama,443A,1857,928,929,6.8965396,80.0828258
Seethawaka,Jayaweeragoda,443D,1717,839,878,6.895012,80.0730491
Seethawaka,Koodaluvila,444D,2807,1378,1429,6.8885971,80.0828258
Seethawaka,Thunnana East,444,868,441,427,6.8861241,80.0912049
Seethawaka,Diddeniya South,439A,1233,623,610,6.879825,80.1065646
Seethawaka,Elamalawala,442B,606,303,303,6.8844611,80.1386714
Seethawaka,Ilukovita,442C,533,261,272,6.8824474,80.169371
Seethawaka,Koswatta,442E,708,343,365,6.8906212,80.1805318
Seethawaka,Koswatta,442E,708,343,365,6.9005375,79.8954802
Sri Jayawardanapura Kotte,Koswatta,520A,5707,2767,2940,6.8906212,80.1805318
Sri Jayawardanapura Kotte,Koswatta,520A,5707,2767,2940,6.9005375,79.8954802
Seethawaka,Pagngnagula,442A,767,366,401,6.8772671,80.1749516
Seethawaka,Pelpola,442G,744,361,383,6.8754545,80.1512317
Seethawaka,Kudakanda,444E,1289,600,689,6.8782986,80.0967906
Seethawaka,Thunnana West,444B,1713,838,875,6.8792449,80.0786359
Seethawaka,Mawathagama West,444C,1976,923,1053,6.8634811,80.0842224
Seethawaka,Mawathagama East,444A,914,445,469,6.8690057,80.0953942
Padukka,Pinnawala North,456,845,403,442,6.8787618,80.1191296
Padukka,Pinnawala South,456A,1518,737,781,6.8763457,80.1302969
Padukka,Waga North,457B,857,434,423,6.8765765,80.1414627
Padukka,Waga East,457,1789,882,907,6.8593428,80.1400671
Padukka,Thummodara,458A,794,389,405,6.865895,80.1690642
Padukka,Waga South,457C,970,467,503,6.8542797,80.1512317
Padukka,Siyambalawa,459B,1891,927,964,6.8382885,80.1456496
Padukka,Pahala Bope,459A,1074,500,574,6.8366502,80.1302969
Padukka,Halpe,454B,727,345,382,6.8485275,80.128901
Padukka,Waga West,457A,1339,642,697,6.8699299,80.1400671
Padukka,Uggalla,454,1878,919,959,6.858882,80.1177335
Padukka,Wewelpanawa,453A,707,335,372,6.8679427,80.1079608
Padukka,Pitumpe North,453,1438,698,740,6.8586511,80.1065646
Padukka,Pitumpe South,453B,1332,632,700,6.8525385,80.0988851
Padukka,Galagedara East,452,2790,1420,1370,6.8517182,80.0912049
Padukka,Galagedara North,452A,2391,1194,1197,6.8568945,80.0856189
Padukka,Galagedara South,452B,1247,614,633,6.8488989,80.0828258
Padukka,Padukka,461,2939,1451,1488,6.8453634,80.1037721
Padukka,Arukwatta North,460,1520,724,796,6.8465997,80.0995833
Padukka,Arukwatta South,460A,2168,1078,1090,6.8374843,80.1065646
Padukka,Ganegoda,460B,1157,545,612,6.8441846,80.1107531
Padukka,Angampitiya,454A,2157,1049,1108,6.8470031,80.1191296
Padukka,Weragala,455,1814,886,928,6.827248,80.1233175
Padukka,Angamuwa,461A,1593,803,790,6.8269035,80.1065646
Padukka,Poregedara,462A,1071,520,551,6.8225047,80.0856189
